Symbol,Company,DividendScore,FinancialScore,ProfitScore,TotalScore,MarketCap,Problem,AvgGrowthRate,CumulativeDividend
4465.T,"Niitaka Co., Ltd.",40,25,30,95,14110327808.0,,0.1877868623622091,累進
7780.T,"Menicon Co., Ltd.",40,30,25,95,143833808896.0,,0.16281258702311335,累進
8016.T,"Onward Holdings Co., Ltd.",35,30,30,95,103300915200.0,,0.12962962962962962,
2659.T,"SAN-A CO.,LTD.",40,30,25,95,203711021056.0,,0.17167982109371108,累進
4403.T,NOF Corporation,35,30,30,95,618356670464.0,,0.18295641420260042,
1941.T,Chudenko Corporation,40,30,25,95,274771591168.0,,0.05713252425099814,累進
3771.T,"System Research Co.,Ltd.",40,25,30,95,32357242880.0,,0.2763668430335097,累進
7203.T,Toyota Motor Corporation,40,25,30,95,38403068395520.0,,0.09940553342329148,累進
5947.T,Rinnai Corporation,40,30,25,95,509200728064.0,,0.1414876490930396,累進
5334.T,"Niterra Co., Ltd.",35,30,30,95,1625911984128.0,,0.20279885354481003,
7483.T,"Doshisha Co.,Ltd.",40,30,25,95,110191902720.0,,0.07643698893698894,累進
7476.T,AS ONE Corporation,35,30,30,95,179665633280.0,,0.11404772386879117,
7224.T,"ShinMaywa Industries, Ltd.",35,30,30,95,132551262208.0,,0.2142336018971393,
7545.T,"Nishimatsuya Chain Co., Ltd.",40,30,25,95,120767619072.0,,0.05441641021351165,累進
7458.T,"Daiichikosho Co., Ltd.",35,30,30,95,196571168768.0,,0.00605316285011467,
4763.T,"CREEK & RIVER Co., Ltd.",40,25,30,95,32461631488.0,,0.20814627759072202,累進
4771.T,"F&M Co.,Ltd.",40,25,30,95,39629115392.0,,0.08344139590766278,累進
4838.T,Space Shower Skiyaki Holdings Inc.,40,25,30,95,11461061632.0,,0.03333333333333333,累進
3549.T,"Kusuri No Aoki Holdings Co., Ltd.",40,25,30,95,386594635776.0,,0.14614152011347936,累進
2114.T,Fuji Nihon Corporation,40,25,30,95,34781515776.0,,0.21423098506431837,累進
2229.T,"Calbee, Inc.",40,30,25,95,376192827392.0,,0.05968457468457468,累進
6890.T,Ferrotec Corporation,40,25,30,95,492842483712.0,,0.33042533347411396,累進
2152.T,Youji Corporation,40,25,30,95,16430679040.0,,0.2168432719920134,累進
9687.T,"KSK Co.,Ltd.",40,25,30,95,28528390144.0,,0.16494427558257346,累進
6744.T,Nohmi Bosai Ltd.,35,30,30,95,252227452928.0,,0.17853388154091926,
2349.T,"Nippon Information Development Co., Ltd.",40,25,30,95,27401238528.0,,0.060579305538158636,累進
6902.T,DENSO Corporation,40,30,25,95,4966645760000.0,,0.09189359492226876,累進
6365.T,DMW Corporation,40,25,30,95,23657017344.0,,0.1564786072103145,累進
6745.T,Hochiki Corporation,35,30,30,95,146002329600.0,,0.2331357206059334,
9735.T,"SECOM CO., LTD.",40,30,25,95,2591444434944.0,,0.04075172954171922,累進
9682.T,DTS Corporation,35,30,30,95,180551581696.0,,0.18513288464979288,
5929.T,Sanwa Holdings Corporation,40,30,24,94,766914265088.0,,0.20377492622985982,累進
4975.T,JCU Corporation,40,30,24,94,136147075072.0,,0.11874967601310314,累進
5982.T,"Maruzen Co., Ltd.",37,27,30,94,66471587840.0,,0.24019878197853728,
5384.T,Fujimi Incorporated,40,30,24,94,258528641024.0,,0.20784848535946976,累進
4966.T,"C.Uyemura & Co.,Ltd.",40,30,24,94,314259800064.0,,0.20283204449871117,累進
4825.T,Weathernews Inc.,37,27,30,94,91936751616.0,,0.04262975349931872,
9435.T,"Hikari Tsushin, Inc.",40,30,24,94,1757112041472.0,,0.14388666308652392,累進
2127.T,Nihon M&A Center Holdings Inc.,40,30,24,94,215123378176.0,,0.17272619880577358,累進
2805.T,S&B Foods Inc.,40,30,24,94,174065844224.0,,0.11454798858198223,累進
4686.T,JustSystems Corporation,40,30,24,94,275198902272.0,,0.18304843304843305,累進
2751.T,"TENPOS HOLDINGS Co.,Ltd.",37,27,30,94,45513285632.0,,0.030996472663139332,
4206.T,"Aica Kogyo Company, Limited",40,30,24,94,265631219712.0,,0.09540005133985884,累進
6845.T,Azbil Corporation,40,30,24,94,763022934016.0,,0.12920610534136479,累進
6960.T,"Fukuda Denshi Co., Ltd.",40,30,24,94,337158242304.0,,0.12851314284661075,累進
6762.T,TDK Corporation,40,30,24,94,5844416593920.0,,0.1772144457279651,累進
3093.T,"Treasure Factory Co.,LTD.",37,27,30,94,46179180544.0,,0.26720189868061917,
6644.T,"Osaki Electric Co., Ltd.",37,27,30,94,68854022144.0,,0.1033910533910534,
6988.T,Nitto Denko Corporation,40,30,24,94,2368255295488.0,,0.08025411551244042,累進
7292.T,Murakami Corporation,40,27,25,92,80168566784.0,,0.27522479507773623,累進
2292.T,S Foods Inc.,40,27,25,92,93024436224.0,,0.1311467109860724,累進
6378.T,"Kimura Chemical Plants Co., Ltd.",37,25,30,92,23580354560.0,,0.2621693121693121,
4674.T,Cresco Ltd.,35,27,30,92,80767492096.0,,0.17756983026269457,
4684.T,"OBIC Co.,Ltd.",40,22,30,92,2179465084928.0,現金比率低い,0.17625506139967653,累進
1952.T,"Shin Nippon Air Technologies Co., Ltd.",40,22,30,92,146423857152.0,,0.25813507480174147,累進
1959.T,Kraftia Corporation,40,22,30,92,594526208000.0,現金比率低い,0.13935677848721328,累進
4658.T,"Nippon Air conditioning Services Co., Ltd.",35,27,30,92,54763196416.0,,0.14382602627504998,
4628.T,"Sk Kaken Co.,Ltd.",37,30,25,92,128290848768.0,,0.08846323429656763,
7979.T,Shofu Inc.,35,27,30,92,82318098432.0,,0.22747256690361548,
4503.T,Astellas Pharma Inc.,40,22,30,92,4329231613952.0,現金比率低い,0.09841716239736743,累進
4568.T,"Daiichi Sankyo Company, Limited",40,22,30,92,5186921693184.0,現金比率低い,0.15291706848380507,累進
4536.T,"Santen Pharmaceutical Co., Ltd.",40,30,22,92,613296898048.0,,0.04390726376020494,累進
4559.T,"Zeria Pharmaceutical Co., Ltd.",40,27,25,92,88731828224.0,,0.047999191258995176,累進
4543.T,Terumo Corporation,40,22,30,92,3753395617792.0,現金比率低い,0.12350779333983468,累進
9029.T,"Higashi Holdings Co., Ltd.",37,25,30,92,25130102784.0,,0.21094970751833497,
9039.T,"Sakai Moving Service Co.,Ltd.",37,30,25,92,121785679872.0,,0.15844163805103892,
3798.T,"ULS Group, Inc.",37,25,30,92,30778638336.0,,0.17369974313338157,
3774.T,Internet Initiative Japan Inc.,40,22,30,92,603631321088.0,現金比率低い,0.27418102998130744,累進
2791.T,"Daikokutenbussan Co.,Ltd.",40,27,25,92,60955037696.0,,0.0526470322638905,累進
1938.T,"Nippon Rietec Co.,Ltd.",40,27,25,92,63264739328.0,,0.26619902731013845,累進
1944.T,Kinden Corporation,40,22,30,92,1195453054976.0,現金比率低い,0.20117558036199853,累進
4091.T,Nippon Sanso Holdings Corporation,40,22,30,92,2467263938560.0,現金比率低い,0.13604163326385552,累進
6504.T,"Fuji Electric Co., Ltd.",40,22,30,92,1995698995200.0,現金比率低い,0.15497755331088664,累進
1384.T,"Hokuryo Co., Ltd.",37,25,30,92,18761703424.0,,0.2579365079365079,
3817.T,"SRA Holdings, Inc.",35,27,30,92,66944196608.0,,0.11896066896066897,
3850.T,NTT Data Intramart Corporation,37,25,30,92,18414583808.0,,0.32038905680849417,
3034.T,"Qol Holdings Co., Ltd.",40,22,30,92,89847963648.0,,0.051787293166603514,累進
8285.T,"Mitani Sangyo Co., Ltd.",40,27,25,92,48209432576.0,,0.06944444444444445,累進
8715.T,"Anicom Holdings, Inc.",40,22,30,92,78646910976.0,,0.28005050505050505,累進
3923.T,"Rakus Co., Ltd.",40,22,30,92,403861700608.0,現金比率低い,0.37922989824151154,累進
6458.T,Sinko Industries Ltd.,35,27,30,92,84803731456.0,,0.19970928636214813,
6758.T,Sony Group Corporation,40,22,30,92,23684498587648.0,現金比率低い,0.2136556669451406,累進
9948.T,ARCS Company Limited,37,30,25,92,196870897664.0,,0.0724185394093852,
9551.T,"METAWATER Co., Ltd.",40,22,30,92,138237001728.0,,0.09109789964906762,累進
9960.T,Totech Corporation,40,22,30,92,158899060736.0,現金比率低い,0.3383712268247089,累進
1332.T,Nissui Corporation,40,22,30,92,388946132992.0,現金比率低い,0.21730586951175188,累進
1736.T,Otec Corporation,37,25,30,92,37573804032.0,,0.1856434807475993,
1721.T,COMSYS Holdings Corporation,40,22,30,92,637051928576.0,現金比率低い,0.1318699818699819,累進
6161.T,Estic Corporation,37,25,30,92,10516098048.0,,0.16856535091619984,
6912.T,Kikusui Holdings Corporation,37,25,30,92,20668702720.0,,0.1162431232493066,
2282.T,NH Foods Ltd.,37,30,25,92,591735357440.0,,0.1344644150877965,
6086.T,"Shin Maint Holdings Co.,Ltd.",37,25,30,92,19543052288.0,,0.28188293497211225,
9436.T,Okinawa Cellular Telephone Company,40,22,30,92,382282596352.0,現金比率低い,0.11162123765908159,累進
9753.T,IX Knowledge Incorporated,37,25,30,92,13207209984.0,,0.21296296296296294,
1719.T,Hazama Ando Corporation,40,22,30,92,307333922816.0,,0.20376984126984127,累進
9733.T,Nagase Brothers Inc.,40,22,30,92,56448978944.0,,0.11538462047337299,累進
9404.T,"Nippon Television Holdings, Inc.",37,30,25,92,750454636544.0,,0.018626189214424507,
6370.T,Kurita Water Industries Ltd.,40,22,30,92,862220124160.0,現金比率低い,0.08537727222348356,累進
2307.T,"Cross Cat Co., Ltd.",37,25,30,92,15031811072.0,,0.2626094167760834,
6824.T,"New Cosmos Electric Co.,Ltd.",40,27,25,92,52691775488.0,,0.11369242752221477,累進
7241.T,"Futaba Industrial Co., Ltd.",40,30,22,92,101805465600.0,,0.5194194194194195,累進
2208.T,Bourbon Corporation,40,27,25,92,74689839104.0,,0.09032859790260453,累進
2201.T,"Morinaga&Co., Ltd.",40,22,30,92,213701656576.0,,0.2167404200737534,累進
5285.T,Yamax Corp.,37,25,30,92,13541435392.0,,0.3531746031746032,
6013.T,"Takuma Co., Ltd.",40,22,30,92,220892676096.0,,0.24311193398912698,累進
6055.T,"JAPAN MATERIAL Co., Ltd.",40,22,30,92,218497875968.0,現金比率低い,0.16924102909007446,累進
7741.T,HOYA Corporation,40,22,30,92,8326214582272.0,現金比率低い,0.1782267115600449,累進
7438.T,Kondotec Inc.,40,27,25,92,43861417984.0,,0.09107905970020436,累進
2112.T,"Ensuiko Sugar Refining Co., Ltd.",37,25,30,92,13154394112.0,,0.16666666666666666,
7733.T,Olympus Corporation,40,22,30,92,2263344742400.0,現金比率低い,0.19971729432513746,累進
9324.T,Yasuda Logistics Corporation,35,27,30,92,73011183616.0,,0.16992559308010305,
3648.T,AGS Corporation,37,25,30,92,18100004864.0,,0.06942594442594442,
7912.T,"Dai Nippon Printing Co., Ltd.",37,30,25,92,1330453938176.0,,0.027777777777777776,
7949.T,"Komatsu Wall Industry Co., Ltd.",40,27,25,92,49757642752.0,,0.1545555479379009,累進
7917.T,ZACROS Corporation,40,27,25,92,92730122240.0,,0.09166143224966754,累進
6023.T,"Daihatsu Infinearth Mfg.Co.,Ltd",40,27,24,91,79219048448.0,,0.20910808767951627,累進
2767.T,Tsuburaya Fields Holdings Inc.,37,30,24,91,159490768896.0,,0.40925925925925927,
7575.T,"Japan Lifeline Co., Ltd.",37,30,24,91,113018863616.0,,0.3508550683483893,
4816.T,"Toei Animation Co.,Ltd.",37,30,24,91,621111476224.0,,0.30618386353638255,
3635.T,"Koei Tecmo Holdings Co., Ltd.",37,30,24,91,580904681472.0,,0.17697141423395657,
9639.T,"Sankyo Frontier Co.,Ltd.",40,27,24,91,52984524800.0,,0.09734926065571226,累進
1377.T,Sakata Seed Corporation,35,30,25,90,186576470016.0,,0.14393792705849445,
3183.T,"WIN-Partners Co., Ltd.",40,25,25,90,34813526016.0,,0.11629575530598386,累進
3180.T,BEAUTY GARAGE Inc.,35,25,30,90,20448694272.0,,0.24528218694885362,
8725.T,"MS&AD Insurance Group Holdings, Inc.",40,20,30,90,7437726253056.0,自己資本比率低い,0.18967864117481698,累進
8473.T,"SBI Holdings, Inc.",40,20,30,90,2132446150656.0,自己資本比率低い,0.17946775446775448,累進
3941.T,"Rengo Co., Ltd.",40,25,25,90,395067719680.0,,0.14099326599326598,累進
3289.T,Tokyu Fudosan Holdings Corporation,40,20,30,90,966785040384.0,自己資本比率低い,0.14868259344523535,累進
3107.T,"Daiwabo Holdings Co., Ltd.",35,25,30,90,331853889536.0,,0.2717323186073186,
7614.T,"OM2 Network Co.,Ltd.",40,25,25,90,10261889024.0,,0.04259259259259259,累進
2810.T,House Foods Group Inc.,40,30,20,90,357025873920.0,ROE低い,0.055977302354113946,累進
4709.T,ID Holdings Corporation,35,25,30,90,37341970432.0,,0.23354835203582944,
4287.T,Just Planning Inc.,40,20,30,90,5491748864.0,,0.06248824474515861,累進
9057.T,"Enshu Truck Co.,Ltd.",40,25,25,90,24288974848.0,,0.2356229042377676,累進
8818.T,"Keihanshin Building Co., Ltd.",35,30,25,90,106471604224.0,,0.1114412744708311,
8278.T,"Fuji Co., Ltd.",40,30,20,90,175025766400.0,ROE低い,0.08307279140612474,累進
6486.T,"Eagle Industry Co.,Ltd.",35,30,25,90,140755353600.0,,0.11963420757280405,
2359.T,Core Corporation,35,25,30,90,31275001856.0,,0.1418470418470418,
3360.T,"Ship Healthcare Holdings, Inc.",40,25,25,90,220374548480.0,,0.08769860333884724,累進
6617.T,"Takaoka Toko Co., Ltd.",36,30,24,90,108199100416.0,,0.02693602693602694,
2813.T,"Wakou Shokuhin Co., Ltd.",40,20,30,90,9818064896.0,,0.3128722893772453,累進
8309.T,"Sumitomo Mitsui Trust Group, Inc.",40,20,30,90,4983257825280.0,自己資本比率低い,0.11160904318299705,累進
8283.T,Paltac Corporation,40,30,20,90,401983012864.0,,0.08527807592145506,累進
1925.T,"Daiwa House Industry Co., Ltd.",35,25,30,90,2939099021312.0,,0.07152115908447933,
8117.T,Central Automotive Products Ltd.,40,30,20,90,124069568512.0,,0.19413164253887272,累進
3834.T,"Asahi Net, Inc.",40,25,25,90,16012996608.0,,0.03789999292863762,累進
7911.T,TOPPAN Holdings Inc.,35,30,25,90,1387911970816.0,,0.07364183405373335,
8015.T,Toyota Tsusho Corporation,35,25,30,90,7226703478784.0,,0.2191066172632576,
9799.T,"Asahi Intelligence Service Co., Ltd.",35,25,30,90,14840803328.0,,0.100649851069743,
9959.T,"Aseed Holdings Co.,Ltd.",40,20,30,90,12126317568.0,,0.10313451980118647,累進
9780.T,Harima B.Stem Corporation,35,25,30,90,10171591680.0,,0.2886243386243386,
6351.T,"Tsurumi Manufacturing Co.,Ltd.",35,30,25,90,124164702208.0,,0.08895314591417806,
9409.T,TV Asahi Holdings Corporation,35,30,25,90,318206935040.0,,0.07407407407407407,
9691.T,"Ryomo Systems Co.,Ltd.",35,25,30,90,17982001152.0,,0.1367298279062985,
9428.T,Crops Corporation,40,20,30,90,14051773440.0,,0.1375972611266729,累進
2413.T,"M3, Inc.",40,30,20,90,1221397053440.0,,0.1928872550260579,累進
6770.T,"Alps Alpine Co., Ltd.",35,30,25,90,454980272128.0,,0.13896604938271603,
6101.T,Tsugami Corporation,40,30,20,90,244254900224.0,減収傾向,0.184229550406021,累進
6248.T,"Yokota Manufacturing Co., Ltd.",40,20,30,90,3237166848.0,,0.14795504929478642,累進
6923.T,"Stanley Electric Co., Ltd.",35,30,25,90,454153895936.0,,0.12425373568230712,
9412.T,SKY Perfect JSAT Corporation,35,30,25,90,583987167232.0,,0.11324776587934483,
6841.T,Yokogawa Electric Corporation,40,30,20,90,1276235874304.0,,0.11408123466946996,累進
5344.T,"Maruwa Co.,Ltd.",40,30,20,90,645003804672.0,,0.10840689878370285,累進
5991.T,"NHK Spring Co., Ltd.",35,30,25,90,687203024896.0,,0.24618564158206102,
3435.T,"Sanko Techno Co., Ltd.",40,25,25,90,11831982080.0,,0.08718728620689405,累進
4783.T,"NCD Co., Ltd.",35,25,30,90,21476542464.0,,0.3574126755804573,
7516.T,"Kohnan Shoji Co., Ltd.",40,25,25,90,129838612480.0,,0.12320124757437398,累進
2903.T,"Shinobu Foods Products Co., Ltd.",35,25,30,90,17376804864.0,,0.08279411782983753,
7947.T,FP Corporation,35,30,25,90,229528289280.0,,0.0952274839142385,
7955.T,Cleanup Corporation,40,25,25,90,35405783040.0,,0.0547008547008547,累進
7734.T,"Riken Keiki Co., Ltd.",40,30,20,90,155458781184.0,,0.19881942605151065,累進
9432.T,"NTT, Inc.",40,20,30,90,14259249479680.0,自己資本比率低い,0.09282826690930285,累進
9360.T,Suzuyo Shinwart Corporation,40,20,30,90,7908938752.0,,0.3037037037037037,累進
7570.T,"Hashimoto Sogyo Holdings Co.,Ltd.",40,25,25,90,27476570112.0,,0.1500222789333409,累進
7520.T,"Eco's Co.,Ltd.",40,25,25,90,28748324864.0,,0.14264069264069262,累進
5332.T,TOTO LTD.,35,30,25,90,1026183593984.0,,0.04974063699553896,
2181.T,"Persol Holdings Co.,Ltd.",35,25,30,90,678787219456.0,,0.26774461291366114,
2163.T,"Artner Co., Ltd.",35,25,30,90,20648142848.0,配当性向100%以上,0.292122234483967,
7459.T,MediPal Holdings Corporation,40,25,25,90,600278761472.0,,0.08877021382490345,累進
7466.T,SPK Corporation,40,25,25,90,30128433152.0,,0.08727891306189783,累進
2303.T,Dawn Corp.,40,20,30,90,8079782400.0,,0.23068783068783072,累進
1980.T,"Dai-Dan Co., Ltd.",35,30,24,89,368080584704.0,,0.31683393787179515,
2002.T,Nisshin Seifun Group Inc.,40,30,19,89,576564756480.0,,0.1042339633912177,累進
1967.T,Yamato Corporation,40,19,30,89,47660408832.0,,0.2057142857142857,累進
1948.T,"The Kodensha Co., Ltd.",40,19,30,89,99737714688.0,現金比率低い,0.26082085220016255,累進
7970.T,"Shin-Etsu Polymer Co.,Ltd.",40,30,19,89,181640085504.0,,0.20934928764284763,累進
1965.T,Techno Ryowa Ltd.,37,22,30,89,142909603840.0,,0.26074436687207775,
4368.T,"Fuso Chemical Co.,Ltd.",35,30,24,89,312099307520.0,,0.07303252248251381,
4063.T,"Shin-Etsu Chemical Co., Ltd.",35,30,24,89,11038989746176.0,,0.20067001938467843,
3036.T,ALCONIX Corporation,40,25,24,89,102357901312.0,,0.1731595797135663,累進
6590.T,Shibaura Mechatronics Corporation,37,22,30,89,264525037568.0,現金比率低い,0.502537141643912,
2918.T,"Warabeya Nichiyo Holdings Co., Ltd.",37,27,25,89,48536416256.0,,0.15942760942760942,
3050.T,"DCM Holdings Co., Ltd.",40,30,19,89,217380159488.0,,0.08662468037468037,累進
3925.T,Double Standard Inc.,40,25,24,89,18449129472.0,配当性向70%以上2回,0.31459466459466456,累進
8194.T,Life Corporation,37,22,30,89,232126857216.0,現金比率低い,0.17162775496108829,
9364.T,"Kamigumi Co., Ltd.",40,30,19,89,480731267072.0,,0.25335612601131996,累進
7504.T,Kohsoku Corporation,40,19,30,89,95616598016.0,現金比率低い,0.1436509074356208,累進
5284.T,"Yamau Holdings Co., Ltd.",40,25,24,89,13753535488.0,,0.4892598829583075,累進
9171.T,"Kuribayashi Steamship Co., Ltd.",40,25,24,89,17860163584.0,,0.23148148148148145,累進
4800.T,Oricon Inc.,40,25,24,89,17433563136.0,配当性向70%以上2回,0.18988603011493527,累進
3676.T,"DIGITAL HEARTS HOLDINGS Co., Ltd.",40,25,24,89,23592134656.0,,0.09842767328857617,累進
6273.T,SMC Corporation,40,30,19,89,4376828313600.0,,0.23456790123456792,累進
2222.T,"Kotobuki Spirits Co., Ltd.",37,22,30,89,422914883584.0,現金比率低い,0.33544973544973544,
6925.T,Ushio Inc.,40,30,19,89,306045288448.0,配当性向70%以上2回,0.14700854700854704,累進
9663.T,"NAGAWA Co., Ltd.",37,27,25,89,79662915584.0,,0.05071225071225071,
6951.T,JEOL Ltd.,35,30,24,89,346265812992.0,,0.3405214648641608,
6258.T,Hirata Corporation,37,22,30,89,107342979072.0,,0.3582288696066628,
9709.T,"NCS&A Co., Ltd.",40,25,24,89,20695615488.0,,0.22157287157287156,累進
6331.T,"Mitsubishi Kakoki Kaisha, Ltd.",40,19,30,89,75633221632.0,,0.25263993605224044,累進
6754.T,Anritsu Corporation,35,30,24,89,432484646912.0,,0.10476528790160582,
9997.T,"Belluna Co., Ltd.",40,30,19,89,103964745728.0,,0.10224105096416924,累進
9882.T,Yellow Hat Ltd.,40,30,19,89,150843736064.0,,0.10325193461684427,累進
4765.T,"SBI Global Asset Management Co., Ltd.",31,27,30,88,89051996160.0,配当性向70%以上2回,0.17322431549777073,
